IMDb_ID,title,year,rating,type,genres
tt0120601,Being John Malkovich,1999,7.7,movie,Fantasy;Drama;Comedy
tt0142342,Big Daddy,1999,6.4,movie,Drama;Comedy
tt0125439,Notting Hill,1999,7.1,movie,Drama;Comedy;Romance
tt0134119,The Talented Mr. Ripley,1999,7.4,movie,Crime;Drama;Thriller
tt0171804,Boys Don't Cry,1999,7.5,movie,Crime;Drama;Romance;Biography
tt0137523,Fight Club,1999,8.8,movie,Drama
tt0120689,The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
tt0139134,Cruel Intentions,1999,6.8,movie,Drama;Romance
tt0167404,The Sixth Sense,1999,8.1,movie,Drama;Thriller;Mystery
tt0120655,Dogma,1999,7.3,movie,Adventure;Fantasy;Drama;Comedy
tt0175880,Magnolia,1999,8.0,movie,Drama
tt0120663,Eyes Wide Shut,1999,7.4,movie,Drama;Thriller;Mystery
tt0147800,10 Things I Hate About You,1999,7.3,movie,Drama;Comedy;Romance
tt0159097,The Virgin Suicides,1999,7.2,movie,Drama;Romance
tt0150377,Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
tt0235198,Ôdishon,1999,7.2,movie,Drama;Mystery;Horror
tt0169547,American Beauty,1999,8.3,movie,Drama
tt0172493,"Girl, Interrupted",1999,7.3,movie,Drama;Biography
tt0123964,Life,1999,6.8,movie,Crime;Drama;Comedy
tt0132477,October Sky,1999,7.8,movie,Family;Drama;Biography
tt0124315,The Cider House Rules,1999,7.4,movie,Drama;Romance
tt0124298,Blast from the Past,1999,6.6,movie,Drama;Comedy;Sci-Fi;Romance
tt0120188,Three Kings,1999,7.1,movie,Adventure;Drama;Comedy;Action;War
tt0129167,The Iron Giant,1999,8.0,movie,Adventure;Family;Drama;Comedy;Animation;Sci-Fi;Action
tt0179116,But I'm a Cheerleader,1999,6.7,movie,Drama;Comedy;Romance
