IMDb_ID,title,year,rating,type,genres
tt0120601,Being John Malkovich,1999,7.7,movie,Fantasy;Drama;Comedy
tt0162661,Sleepy Hollow,1999,7.3,movie,Fantasy;Mystery;Horror
tt0120689,The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
tt0132347,Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,Adventure;Fantasy;Sci-Fi;Action
tt0120655,Dogma,1999,7.3,movie,Adventure;Fantasy;Drama;Comedy
tt0120363,Toy Story 2,1999,7.9,movie,Adventure;Family;Fantasy;Comedy;Animation
tt0120616,The Mummy,1999,7.0,movie,Adventure;Fantasy;Action
tt0120604,Beowulf,1999,4.2,movie,Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
tt0185371,House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
tt0171363,The Haunting,1999,5.0,movie,Fantasy;Thriller;Mystery;Horror
