IMDb_ID,title,year,rating,type,genres
tt0162661,Sleepy Hollow,1999,7.3,movie,Fantasy;Mystery;Horror
tt0142688,The Ninth Gate,1999,6.7,movie,Thriller;Mystery
tt0120689,The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
tt0167404,The Sixth Sense,1999,8.1,movie,Drama;Thriller;Mystery
tt0120663,Eyes Wide Shut,1999,7.4,movie,Drama;Thriller;Mystery
tt0150377,Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
tt0235198,Ôdishon,1999,7.2,movie,Drama;Mystery;Horror
tt0185937,The Blair Witch Project,1999,6.5,movie,Mystery;Horror
tt0185371,House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
tt0171363,The Haunting,1999,5.0,movie,Fantasy;Thriller;Mystery;Horror
