IMDb_ID,title,year,rating,type,genres
tt0120907,eXistenZ,1999,6.8,movie,Sci-Fi;Thriller;Horror
tt0132347,Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
tt0177789,Galaxy Quest,1999,7.3,movie,Adventure;Comedy;Sci-Fi
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,Adventure;Fantasy;Sci-Fi;Action
tt0149261,Deep Blue Sea,1999,5.9,movie,Adventure;Sci-Fi;Action;Thriller
tt0133093,The Matrix,1999,8.7,movie,Sci-Fi;Action
tt0120604,Beowulf,1999,4.2,movie,Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
tt0124298,Blast from the Past,1999,6.6,movie,Drama;Comedy;Sci-Fi;Romance
tt0129167,The Iron Giant,1999,8.0,movie,Adventure;Family;Drama;Comedy;Animation;Sci-Fi;Action
tt0120891,Wild Wild West,1999,5.0,movie,Comedy;Sci-Fi;Action;Western
